age,attrition,businesstravel,dailyrate,distancefromhome,education,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,monthlyrate,numcompaniesworked,over18,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,attrition_flag,jobrole_Human Resources,jobrole_Laboratory Technician,jobrole_Manager,jobrole_Manufacturing Director,jobrole_Research Director,jobrole_Research Scientist,jobrole_Sales Executive,jobrole_Sales Representative,department_Research & Development,department_Sales,maritalstatus_Married,maritalstatus_Single,overtime_Yes,educationfield_Life Sciences,educationfield_Marketing,educationfield_Medical,educationfield_Other,educationfield_Technical Degree,gender_Male,monthlyincome_log
41.0,Yes,Travel_Rarely,1102,1,2,2,94,3,2,4,5993.0,19479,8,Y,11,3,1,80,0,8,0,1,6,4,0,5,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,8.69851424787661
49.0,No,Travel_Frequently,279,8,1,3,61,2,2,2,5130.0,24907,1,Y,23,4,4,80,1,10,3,3,10,7,1,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,8.543055850941965
37.0,Yes,Travel_Rarely,1373,2,2,4,92,2,1,3,2090.0,2396,6,Y,15,3,2,80,0,7,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,7.645397699428633
33.0,No,Travel_Frequently,1392,3,4,4,56,3,1,3,2909.0,23159,1,Y,11,3,3,80,0,8,3,3,8,7,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,7.975908360165538
27.0,No,Travel_Rarely,591,2,1,1,40,3,1,2,3468.0,16632,9,Y,12,3,4,80,1,6,3,3,2,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8.15162164696975
32.0,No,Travel_Frequently,1005,2,2,4,79,3,1,4,3068.0,11864,0,Y,13,3,3,80,0,8,2,2,7,7,3,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,8.029107054619736
59.0,No,Travel_Rarely,1324,3,3,3,81,4,1,1,2670.0,9964,4,Y,20,4,1,80,3,12,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,7.890208213109961
30.0,No,Travel_Rarely,1358,24,1,4,67,3,1,3,2693.0,13335,1,Y,22,4,2,80,1,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7.898782356970309
38.0,No,Travel_Frequently,216,23,3,4,44,2,3,3,9526.0,8787,0,Y,21,4,2,80,0,10,2,3,9,7,1,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,9.161885151706779
36.0,No,Travel_Rarely,1299,27,3,3,94,3,2,3,5237.0,16577,6,Y,13,3,2,80,2,17,3,2,7,7,7,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,8.563695025067657
35.0,No,Travel_Rarely,809,16,3,1,84,4,1,2,2426.0,16479,0,Y,13,3,3,80,1,6,5,3,5,4,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,7.794411205726601
29.0,No,Travel_Rarely,153,15,2,4,49,2,2,3,4193.0,12682,0,Y,12,3,4,80,0,10,3,3,9,5,0,8,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,8.341410211461865
31.0,No,Travel_Rarely,670,26,1,1,31,3,1,3,2911.0,15170,1,Y,17,3,4,80,1,5,1,2,5,2,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7.976595409316577
34.0,No,Travel_Rarely,1346,19,2,2,93,3,1,4,2661.0,8758,0,Y,11,3,3,80,1,3,2,3,2,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7.886832998955057
28.0,Yes,Travel_Rarely,103,24,3,3,50,2,1,3,2028.0,12947,5,Y,14,3,2,80,0,6,4,3,4,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,7.615298339825815
29.0,No,Travel_Rarely,1389,21,4,2,51,4,3,1,9980.0,10195,1,Y,11,3,3,80,1,10,1,3,10,9,8,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.208438564686587
32.0,No,Travel_Rarely,334,5,2,1,80,4,1,2,3298.0,15053,0,Y,12,3,4,80,2,7,5,2,6,2,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,8.101374671228582
22.0,No,Non-Travel,1123,16,2,4,96,4,1,4,2935.0,7324,1,Y,13,3,2,80,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,7.984803389734406
53.0,No,Travel_Rarely,1219,2,4,1,78,2,4,4,15427.0,22021,2,Y,16,3,3,80,0,31,3,3,25,8,3,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,9.643939319328119
38.0,No,Travel_Rarely,371,2,3,4,45,3,1,4,3944.0,4306,5,Y,11,3,3,80,0,6,3,3,3,2,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,8.280204233279974
24.0,No,Non-Travel,673,11,2,1,96,4,2,3,4011.0,8232,0,Y,18,3,4,80,1,5,5,2,4,2,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.297045149081827
36.0,Yes,Travel_Rarely,1218,9,4,3,82,2,1,1,3407.0,6986,7,Y,23,4,2,80,0,10,4,3,5,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,8.133880887949207
34.0,No,Travel_Rarely,419,7,4,1,53,3,3,2,11994.0,21293,0,Y,11,3,3,80,0,13,4,3,12,6,2,11,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,9.392245175273795
21.0,No,Travel_Rarely,391,15,2,3,96,3,1,4,1232.0,19281,1,Y,14,3,4,80,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,7.117205503164344
34.0,Yes,Travel_Rarely,699,6,1,2,83,3,1,1,2960.0,17102,2,Y,11,3,3,80,0,8,2,3,4,2,1,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,7.993282328101591
53.0,No,Travel_Rarely,1282,5,3,3,58,3,5,3,16581.0,10735,4,Y,11,3,4,80,1,26,3,2,14,13,4,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9.716073048676163
32.0,Yes,Travel_Frequently,1125,16,1,2,72,1,1,1,3919.0,4681,1,Y,22,4,2,80,0,10,5,3,10,2,6,7,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,8.273846932784508
42.0,No,Travel_Rarely,691,8,4,3,48,3,2,2,6825.0,21173,0,Y,11,3,4,80,1,10,2,3,9,7,4,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,8.828494129466652
44.0,No,Travel_Rarely,477,7,4,1,42,2,3,4,10248.0,2094,3,Y,14,3,4,80,1,24,4,3,22,6,5,17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,9.234935418831563
46.0,No,Travel_Rarely,705,2,4,2,83,3,5,1,16581.0,22822,3,Y,12,3,4,80,0,22,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,9.716073048676163
33.0,No,Travel_Rarely,924,2,3,3,78,3,1,4,2496.0,6670,4,Y,11,3,4,80,0,7,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,7.822845290279774
44.0,No,Travel_Rarely,1459,10,4,4,41,3,2,4,6465.0,19121,2,Y,13,3,4,80,0,9,5,4,4,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,8.774312958285378
30.0,No,Travel_Rarely,125,9,2,4,83,2,1,3,2206.0,16117,1,Y,13,3,1,80,0,10,5,3,10,0,1,8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,7.699389406256737
39.0,Yes,Travel_Rarely,895,5,3,4,56,3,2,4,2086.0,3335,3,Y,14,3,3,80,1,19,6,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,7.643482907077201
24.0,Yes,Travel_Rarely,813,1,3,2,61,3,1,4,2293.0,3020,2,Y,16,3,1,80,1,6,2,2,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,7.738052297689316
43.0,No,Travel_Rarely,1273,2,2,4,72,4,1,3,2645.0,21923,1,Y,12,3,4,80,2,6,3,2,5,3,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7.880804344674901
50.0,Yes,Travel_Rarely,869,3,2,1,86,2,1,3,2683.0,3810,1,Y,14,3,3,80,0,3,2,3,3,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,7.895063498091573
